store_id,transaction_id,timestamp,basket_value_inr
ST1008,TXN_24551bbd8c,2026-04-10T06:45:05Z,1247.98
ST1008,TXN_350c5a683c,2026-04-10T07:12:18Z,8243.23
ST1008,TXN_5cd621b5c2,2026-04-10T08:11:55Z,198.0
ST1008,TXN_3bb7e5ae00,2026-04-10T08:25:16Z,199.0
ST1008,TXN_b3cb969a77,2026-04-10T08:53:21Z,225.0
ST1008,TXN_55dba8e130,2026-04-10T09:32:20Z,814.98
ST1008,TXN_e68e691af5,2026-04-10T10:16:39Z,599.0
ST1008,TXN_6d8639dfee,2026-04-10T10:20:44Z,400.0
ST1008,TXN_771c2bb321,2026-04-10T10:38:03Z,799.0
ST1008,TXN_185e94e6ee,2026-04-10T11:15:32Z,3076.98
ST1008,TXN_8b0619efd4,2026-04-10T11:25:36Z,2048.97
ST1008,TXN_486f3995a6,2026-04-10T12:14:44Z,299.0
ST1008,TXN_fb7e06ea34,2026-04-10T12:25:02Z,1495.98
ST1008,TXN_47c269d26d,2026-04-10T12:30:18Z,149.0
ST1008,TXN_ecdc7099f4,2026-04-10T12:37:14Z,693.0
ST1008,TXN_ea3fd67529,2026-04-10T13:11:51Z,2064.07
ST1008,TXN_0c0bc43fe6,2026-04-10T13:32:09Z,2295.96
ST1008,TXN_0796dbd86b,2026-04-10T13:51:55Z,3467.18
ST1008,TXN_6539f8a52f,2026-04-10T14:03:52Z,1113.0
ST1008,TXN_4f59b7096f,2026-04-10T14:11:29Z,1953.0
ST1008,TXN_d245c10ce8,2026-04-10T14:24:02Z,1354.79
ST1008,TXN_612c997053,2026-04-10T14:55:04Z,897.99
ST1008,TXN_5f599c3119,2026-04-10T15:46:15Z,269.1
ST1008,TXN_8e4979aa45,2026-04-10T16:09:55Z,427.5
